fermi_name,fermi_l,fermi_b,fermi_flux,fermi_r95,fermi_class,num_csc_matches,csc_names,csc_fluxes,csc_glons,csc_glats
4FGL J1749.5-2747,1.43005004,-0.14214187,8.6556e-12,0.0619,snr,1,2CXO J174925.9-274449,5.5731542417396e-13,1.451576,-0.102166
4FGL J1743.5-2616,2.03903774,1.77665782,4.1108e-12,0.0701,glc,1,2CXO J174322.0-261432,5.8796731208051e-14,2.035765,1.833667
4FGL J1744.5-2612,2.20427623,1.62882546,9.502e-12,0.0703,unk,4,"2CXO J174431.2-260901, 2CXO J174445.0-261428, 2CXO J174445.6-261041, 2CXO J174448.7-261332","2.540164884431e-14, 5.9423006178561e-14, 1.6123910517015e-13, 2.2925499218049e-14","2.249446, 2.198819, 2.253875, 2.219615","1.661421, 1.569911, 1.601065, 1.5663"
4FGL J1750.9-2655c,2.32835008,0.01918039,1.7487e-11,0.1351,,3,"2CXO J175032.1-265130, 2CXO J175037.1-265000, 2CXO J175058.9-265119","9.5757582211071e-14, 2.3949627966798e-14, 1.540329979529e-13","2.339895, 2.371147, 2.393561","0.143601, 0.140312, 0.059579"
4FGL J1757.6-2731,2.55847768,-1.5509826,7.1559e-12,0.159,,11,"2CXO J175701.2-273443, 2CXO J175709.5-272532, 2CXO J175709.7-273249, 2CXO J175730.6-273948, 2CXO J175733.4-272306, 2CXO J175734.9-273654, 2CXO J175743.1-274057, 2CXO J175755.4-273307, 2CXO J175756.0-272318, 2CXO J175801.0-273829, 2CXO J175807.2-273204","4.0286745176686e-14, 1.3671305495066e-13, 1.8027456177183e-14, 1.8251361915765e-14, 7.5067472731879e-14, 3.0582719740286e-14, 1.8417324650575e-13, 2.9671292926085e-14, 5.114084883197e-14, 5.3543187404663e-14, 4.1443493795611e-14","2.449758, 2.597534, 2.492968, 2.430886, 2.676964, 2.48049, 2.437168, 2.573216, 2.716099, 2.505775, 2.610098","-1.464123, -1.414022, -1.475691, -1.60068, -1.470316, -1.590105, -1.650048, -1.624098, -1.544525, -1.686664, -1.653339"
4FGL J1754.4-2649,2.81058443,-0.59607952,1.3101e-11,0.3429,unk,2,"2CXO J175427.3-262944, 2CXO J175431.0-262953","1.3480975731684e-14, 8.2136446087946e-15","3.098123, 3.102995","-0.425313, -0.438511"
4FGL J1746.1-2541,2.84024055,1.58152272,8.1029e-12,0.0696,,2,"2CXO J174608.1-253735, 2CXO J174627.1-254306","1.2983850868152e-14, 3.7300791714839e-14","2.886261, 2.844597","1.624319, 1.515801"
4FGL J1805.3-2734,3.35504064,-3.0641508,5.3934e-12,0.1161,,27,"2CXO J180454.8-273830, 2CXO J180458.9-273743, 2CXO J180459.6-273649, 2CXO J180459.7-273335, 2CXO J180500.8-273936, 2CXO J180501.3-273824, 2CXO J180501.5-273917, 2CXO J180502.8-273256, 2CXO J180505.1-274032, 2CXO J180505.4-273400, 2CXO J180506.7-273239, 2CXO J180508.9-273705, 2CXO J180508.9-274041, 2CXO J180510.9-274134, 2CXO J180512.4-273749, 2CXO J180514.7-274030, 2CXO J180514.9-274127, 2CXO J180515.3-274029, 2CXO J180516.6-273529, 2CXO J180517.6-273956, 2CXO J180518.1-274130, 2CXO J180519.2-274005, 2CXO J180534.7-273951, 2CXO J180535.9-273840, 2CXO J180540.4-273425, 2CXO J180541.0-273708, 2CXO J180542.7-273717","6.3176353651803e-15, 6.3866879314206e-15, 5.2486353451413e-15, 1.5319770933627e-14, 6.5530715121966e-15, 2.4290269447021e-15, 2.7717871988964e-15, 2.0039952624336e-14, 1.6433963852188e-15, 4.7214690955357e-14, 3.5814043883583e-15, 1.8931406362646e-14, 6.6320766584732e-15, 2.2839771833963e-15, 1.7638930186563e-14, 9.2162716242704e-15, 5.0721825284935e-15, 2.0943146226955e-15, 1.1614215910725e-14, 3.7597570124265e-14, 6.7243095890414e-15, 3.3310676485576e-14, 3.1796281022947e-14, 2.6797952530703e-14, 2.9310632087609e-14, 4.0386123973788e-14, 1.064164500466e-14","3.26054, 3.279264, 3.293659, 3.340865, 3.255325, 3.273632, 3.26116, 3.355971, 3.249239, 3.344947, 3.367072, 3.306626, 3.253917, 3.244643, 3.302079, 3.267053, 3.253592, 3.268304, 3.343669, 3.280607, 3.258723, 3.281292, 3.312486, 3.332128, 3.402176, 3.3634, 3.364436","-3.01527, -3.022206, -3.017187, -2.991195, -3.043429, -3.035371, -3.043219, -2.995701, -3.064817, -3.012725, -3.005865, -3.04918, -3.078332, -3.092094, -3.066523, -3.095465, -3.103948, -3.097316, -3.061185, -3.100245, -3.114751, -3.106679, -3.154808, -3.148987, -3.129019, -3.152972, -3.159808"
4FGL J1737.6-2350,3.39222994,4.19073069,8.7636e-12,0.2027,glc,9,"2CXO J173820.1-235603, 2CXO J173820.9-235847, 2CXO J173821.0-235812, 2CXO J173823.0-235521, 2CXO J173823.1-234742, 2CXO J173826.3-235501, 2CXO J173826.9-235705, 2CXO J173828.7-235405, 2CXO J173832.5-235044","1.8582155780607e-14, 1.8400046835834e-14, 3.1520472915629e-15, 7.4871555506507e-15, 1.2322656649006e-14, 5.9118433571883e-15, 2.2139079260312e-15, 4.8036464910718e-15, 1.1991905601831e-14","3.395973, 3.359035, 3.367574, 3.411988, 3.520405, 3.423486, 3.395209, 3.441355, 3.496525","4.019887, 3.9931, 3.997898, 4.016721, 4.084198, 4.008887, 3.988659, 4.009574, 4.026968"
4FGL J1811.2-2759,3.62519239,-4.40944049,3.2819e-12,0.0436,bcu,4,"2CXO J181116.7-280037, 2CXO J181119.8-280032, 2CXO J181120.1-275946, 2CXO J181121.1-275847","9.7795113842975e-15, 2.3223797367725e-14, 1.4062283972661e-12, 1.7253974947665e-14","3.617129, 3.623777, 3.635696, 3.651943","-4.425881, -4.434989, -4.429921, -4.425448"
